Q2 | 2 | Позиция маркирована | Маркер #1
P5 | 3 | Позиция маркирована | Маркер #1
P5 | 3 | Маркер уничтожен из конечной позиции | Маркер #1
Q2 | 4 | Позиция маркирована | Маркер #2
P5 | 5 | Позиция маркирована | Маркер #2
P5 | 5 | Маркер уничтожен из конечной позиции | Маркер #2
Q2 | 6 | Позиция маркирована | Маркер #3
P5 | 7 | Позиция маркирована | Маркер #3
P5 | 7 | Маркер уничтожен из конечной позиции | Маркер #3
Q2 | 8 | Позиция маркирована | Маркер #4
P5 | 9 | Позиция маркирована | Маркер #4
P5 | 9 | Маркер уничтожен из конечной позиции | Маркер #4
Q2 | 10 | Позиция маркирована | Маркер #5
P5 | 11 | Позиция маркирована | Маркер #5
P5 | 11 | Маркер уничтожен из конечной позиции | Маркер #5
Q2 | 12 | Позиция маркирована | Маркер #6
P5 | 13 | Позиция маркирована | Маркер #6
P5 | 13 | Маркер уничтожен из конечной позиции | Маркер #6
Q2 | 14 | Позиция маркирована | Маркер #7
P5 | 15 | Позиция маркирована | Маркер #7
P5 | 15 | Маркер уничтожен из конечной позиции | Маркер #7
Q2 | 16 | Позиция маркирована | Маркер #8
P5 | 17 | Позиция маркирована | Маркер #8
P5 | 17 | Маркер уничтожен из конечной позиции | Маркер #8
Q2 | 18 | Позиция маркирована | Маркер #9
P5 | 19 | Позиция маркирована | Маркер #9
P5 | 19 | Маркер уничтожен из конечной позиции | Маркер #9
Q2 | 20 | Позиция маркирована | Маркер #10
P5 | 21 | Позиция маркирована | Маркер #10
P5 | 21 | Маркер уничтожен из конечной позиции | Маркер #10
Q2 | 22 | Позиция маркирована | Маркер #11
P5 | 23 | Позиция маркирована | Маркер #11
P5 | 23 | Маркер уничтожен из конечной позиции | Маркер #11
Q2 | 24 | Позиция маркирована | Маркер #12
P5 | 25 | Позиция маркирована | Маркер #12
P5 | 25 | Маркер уничтожен из конечной позиции | Маркер #12
Q2 | 26 | Позиция маркирована | Маркер #13
P5 | 27 | Позиция маркирована | Маркер #13
P5 | 27 | Маркер уничтожен из конечной позиции | Маркер #13
Q2 | 28 | Позиция маркирована | Маркер #14
P5 | 29 | Позиция маркирована | Маркер #14
P5 | 29 | Маркер уничтожен из конечной позиции | Маркер #14
Q2 | 30 | Позиция маркирована | Маркер #15
P5 | 31 | Позиция маркирована | Маркер #15
P5 | 31 | Маркер уничтожен из конечной позиции | Маркер #15
Q2 | 32 | Позиция маркирована | Маркер #16
P5 | 33 | Позиция маркирована | Маркер #16
P5 | 33 | Маркер уничтожен из конечной позиции | Маркер #16
Q2 | 34 | Позиция маркирована | Маркер #17
P5 | 35 | Позиция маркирована | Маркер #17
P5 | 35 | Маркер уничтожен из конечной позиции | Маркер #17
Q2 | 36 | Позиция маркирована | Маркер #18
P5 | 37 | Позиция маркирована | Маркер #18
P5 | 37 | Маркер уничтожен из конечной позиции | Маркер #18
Q2 | 38 | Позиция маркирована | Маркер #19
P5 | 39 | Позиция маркирована | Маркер #19
P5 | 39 | Маркер уничтожен из конечной позиции | Маркер #19
Q2 | 40 | Позиция маркирована | Маркер #20
P5 | 41 | Позиция маркирована | Маркер #20
P5 | 41 | Маркер уничтожен из конечной позиции | Маркер #20
Q2 | 42 | Позиция маркирована | Маркер #21
P5 | 43 | Позиция маркирована | Маркер #21
P5 | 43 | Маркер уничтожен из конечной позиции | Маркер #21
Q2 | 44 | Позиция маркирована | Маркер #22
P5 | 45 | Позиция маркирована | Маркер #22
P5 | 45 | Маркер уничтожен из конечной позиции | Маркер #22
Q2 | 46 | Позиция маркирована | Маркер #23
P5 | 47 | Позиция маркирована | Маркер #23
P5 | 47 | Маркер уничтожен из конечной позиции | Маркер #23
Q2 | 48 | Позиция маркирована | Маркер #24
P5 | 49 | Позиция маркирована | Маркер #24
P5 | 49 | Маркер уничтожен из конечной позиции | Маркер #24
Q2 | 50 | Позиция маркирована | Маркер #25
P5 | 51 | Позиция маркирована | Маркер #25
P5 | 51 | Маркер уничтожен из конечной позиции | Маркер #25
Q2 | 52 | Позиция маркирована | Маркер #26
P5 | 53 | Позиция маркирована | Маркер #26
P5 | 53 | Маркер уничтожен из конечной позиции | Маркер #26
Q2 | 54 | Позиция маркирована | Маркер #27
P5 | 55 | Позиция маркирована | Маркер #27
P5 | 55 | Маркер уничтожен из конечной позиции | Маркер #27
Q2 | 56 | Позиция маркирована | Маркер #28
P5 | 57 | Позиция маркирована | Маркер #28
P5 | 57 | Маркер уничтожен из конечной позиции | Маркер #28
Q2 | 58 | Позиция маркирована | Маркер #29
P5 | 59 | Позиция маркирована | Маркер #29
P5 | 59 | Маркер уничтожен из конечной позиции | Маркер #29
Q2 | 60 | Позиция маркирована | Маркер #30
P5 | 61 | Позиция маркирована | Маркер #30
P5 | 61 | Маркер уничтожен из конечной позиции | Маркер #30
Q2 | 62 | Позиция маркирована | Маркер #31
P5 | 63 | Позиция маркирована | Маркер #31
