T1 - F | 1 | Маркер иниц. срабатывание перехода | Маркер #1
T1 - F | 2 | Переход завершил работу | Маркер #1
T2 - T | 2 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - T | 2 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - T | 3 | Переход завершил работу | Маркер #1
T2 - T | 3 | Переход завершил работу | Маркер #1
T1 - F | 3 | Маркер иниц. срабатывание перехода | Маркер #2
T5 - J | 3 | Маркер иниц. срабатывание перехода | Маркер #1
T5 - J | 4 | Переход завершил работу | Маркер #1
T1 - F | 4 | Переход завершил работу | Маркер #2
T2 - T | 4 | Маркер иниц. срабатывание перехода | Маркер #2
T4 - T | 4 | Маркер иниц. срабатывание перехода | Маркер #2
T4 - T | 5 | Переход завершил работу | Маркер #2
T2 - T | 5 | Переход завершил работу | Маркер #2
T1 - F | 5 | Маркер иниц. срабатывание перехода | Маркер #3
T5 - J | 5 | Маркер иниц. срабатывание перехода | Маркер #2
T5 - J | 6 | Переход завершил работу | Маркер #2
T1 - F | 6 | Переход завершил работу | Маркер #3
T2 - T | 6 | Маркер иниц. срабатывание перехода | Маркер #3
T4 - T | 6 | Маркер иниц. срабатывание перехода | Маркер #3
T4 - T | 7 | Переход завершил работу | Маркер #3
T2 - T | 7 | Переход завершил работу | Маркер #3
T1 - F | 7 | Маркер иниц. срабатывание перехода | Маркер #4
T5 - J | 7 | Маркер иниц. срабатывание перехода | Маркер #3
T5 - J | 8 | Переход завершил работу | Маркер #3
T1 - F | 8 | Переход завершил работу | Маркер #4
T2 - T | 8 | Маркер иниц. срабатывание перехода | Маркер #4
T4 - T | 8 | Маркер иниц. срабатывание перехода | Маркер #4
T4 - T | 9 | Переход завершил работу | Маркер #4
T2 - T | 9 | Переход завершил работу | Маркер #4
T1 - F | 9 | Маркер иниц. срабатывание перехода | Маркер #5
T5 - J | 9 | Маркер иниц. срабатывание перехода | Маркер #4
T5 - J | 10 | Переход завершил работу | Маркер #4
T1 - F | 10 | Переход завершил работу | Маркер #5
T2 - T | 10 | Маркер иниц. срабатывание перехода | Маркер #5
T4 - T | 10 | Маркер иниц. срабатывание перехода | Маркер #5
T4 - T | 11 | Переход завершил работу | Маркер #5
T2 - T | 11 | Переход завершил работу | Маркер #5
T1 - F | 11 | Маркер иниц. срабатывание перехода | Маркер #6
T5 - J | 11 | Маркер иниц. срабатывание перехода | Маркер #5
T5 - J | 12 | Переход завершил работу | Маркер #5
T1 - F | 12 | Переход завершил работу | Маркер #6
T2 - T | 12 | Маркер иниц. срабатывание перехода | Маркер #6
T4 - T | 12 | Маркер иниц. срабатывание перехода | Маркер #6
T4 - T | 13 | Переход завершил работу | Маркер #6
T2 - T | 13 | Переход завершил работу | Маркер #6
T1 - F | 13 | Маркер иниц. срабатывание перехода | Маркер #7
T5 - J | 13 | Маркер иниц. срабатывание перехода | Маркер #6
T5 - J | 14 | Переход завершил работу | Маркер #6
T1 - F | 14 | Переход завершил работу | Маркер #7
T2 - T | 14 | Маркер иниц. срабатывание перехода | Маркер #7
T4 - T | 14 | Маркер иниц. срабатывание перехода | Маркер #7
T4 - T | 15 | Переход завершил работу | Маркер #7
T2 - T | 15 | Переход завершил работу | Маркер #7
T1 - F | 15 | Маркер иниц. срабатывание перехода | Маркер #8
T5 - J | 15 | Маркер иниц. срабатывание перехода | Маркер #7
T5 - J | 16 | Переход завершил работу | Маркер #7
T1 - F | 16 | Переход завершил работу | Маркер #8
T2 - T | 16 | Маркер иниц. срабатывание перехода | Маркер #8
T4 - T | 16 | Маркер иниц. срабатывание перехода | Маркер #8
T4 - T | 17 | Переход завершил работу | Маркер #8
T2 - T | 17 | Переход завершил работу | Маркер #8
T1 - F | 17 | Маркер иниц. срабатывание перехода | Маркер #9
T5 - J | 17 | Маркер иниц. срабатывание перехода | Маркер #8
T5 - J | 18 | Переход завершил работу | Маркер #8
T1 - F | 18 | Переход завершил работу | Маркер #9
T2 - T | 18 | Маркер иниц. срабатывание перехода | Маркер #9
T4 - T | 18 | Маркер иниц. срабатывание перехода | Маркер #9
T4 - T | 19 | Переход завершил работу | Маркер #9
T2 - T | 19 | Переход завершил работу | Маркер #9
T1 - F | 19 | Маркер иниц. срабатывание перехода | Маркер #10
T5 - J | 19 | Маркер иниц. срабатывание перехода | Маркер #9
T5 - J | 20 | Переход завершил работу | Маркер #9
T1 - F | 20 | Переход завершил работу | Маркер #10
T2 - T | 20 | Маркер иниц. срабатывание перехода | Маркер #10
T4 - T | 20 | Маркер иниц. срабатывание перехода | Маркер #10
T4 - T | 21 | Переход завершил работу | Маркер #10
T2 - T | 21 | Переход завершил работу | Маркер #10
T1 - F | 21 | Маркер иниц. срабатывание перехода | Маркер #11
T5 - J | 21 | Маркер иниц. срабатывание перехода | Маркер #10
T5 - J | 22 | Переход завершил работу | Маркер #10
T1 - F | 22 | Переход завершил работу | Маркер #11
T2 - T | 22 | Маркер иниц. срабатывание перехода | Маркер #11
T4 - T | 22 | Маркер иниц. срабатывание перехода | Маркер #11
T4 - T | 23 | Переход завершил работу | Маркер #11
T2 - T | 23 | Переход завершил работу | Маркер #11
T1 - F | 23 | Маркер иниц. срабатывание перехода | Маркер #12
T5 - J | 23 | Маркер иниц. срабатывание перехода | Маркер #11
T5 - J | 24 | Переход завершил работу | Маркер #11
T1 - F | 24 | Переход завершил работу | Маркер #12
T2 - T | 24 | Маркер иниц. срабатывание перехода | Маркер #12
T4 - T | 24 | Маркер иниц. срабатывание перехода | Маркер #12
T4 - T | 25 | Переход завершил работу | Маркер #12
T2 - T | 25 | Переход завершил работу | Маркер #12
T1 - F | 25 | Маркер иниц. срабатывание перехода | Маркер #13
T5 - J | 25 | Маркер иниц. срабатывание перехода | Маркер #12
T5 - J | 26 | Переход завершил работу | Маркер #12
T1 - F | 26 | Переход завершил работу | Маркер #13
T2 - T | 26 | Маркер иниц. срабатывание перехода | Маркер #13
T4 - T | 26 | Маркер иниц. срабатывание перехода | Маркер #13
T4 - T | 27 | Переход завершил работу | Маркер #13
T2 - T | 27 | Переход завершил работу | Маркер #13
T1 - F | 27 | Маркер иниц. срабатывание перехода | Маркер #14
T5 - J | 27 | Маркер иниц. срабатывание перехода | Маркер #13
T5 - J | 28 | Переход завершил работу | Маркер #13
T1 - F | 28 | Переход завершил работу | Маркер #14
T2 - T | 28 | Маркер иниц. срабатывание перехода | Маркер #14
T4 - T | 28 | Маркер иниц. срабатывание перехода | Маркер #14
T4 - T | 29 | Переход завершил работу | Маркер #14
T2 - T | 29 | Переход завершил работу | Маркер #14
T1 - F | 29 | Маркер иниц. срабатывание перехода | Маркер #15
T5 - J | 29 | Маркер иниц. срабатывание перехода | Маркер #14
T5 - J | 30 | Переход завершил работу | Маркер #14
T1 - F | 30 | Переход завершил работу | Маркер #15
T2 - T | 30 | Маркер иниц. срабатывание перехода | Маркер #15
T4 - T | 30 | Маркер иниц. срабатывание перехода | Маркер #15
T4 - T | 31 | Переход завершил работу | Маркер #15
T2 - T | 31 | Переход завершил работу | Маркер #15
T1 - F | 31 | Маркер иниц. срабатывание перехода | Маркер #16
T5 - J | 31 | Маркер иниц. срабатывание перехода | Маркер #15
T5 - J | 32 | Переход завершил работу | Маркер #15
T1 - F | 32 | Переход завершил работу | Маркер #16
T2 - T | 32 | Маркер иниц. срабатывание перехода | Маркер #16
T4 - T | 32 | Маркер иниц. срабатывание перехода | Маркер #16
T4 - T | 33 | Переход завершил работу | Маркер #16
T2 - T | 33 | Переход завершил работу | Маркер #16
T1 - F | 33 | Маркер иниц. срабатывание перехода | Маркер #17
T5 - J | 33 | Маркер иниц. срабатывание перехода | Маркер #16
T5 - J | 34 | Переход завершил работу | Маркер #16
T1 - F | 34 | Переход завершил работу | Маркер #17
T2 - T | 34 | Маркер иниц. срабатывание перехода | Маркер #17
T4 - T | 34 | Маркер иниц. срабатывание перехода | Маркер #17
T4 - T | 35 | Переход завершил работу | Маркер #17
T2 - T | 35 | Переход завершил работу | Маркер #17
T1 - F | 35 | Маркер иниц. срабатывание перехода | Маркер #18
T5 - J | 35 | Маркер иниц. срабатывание перехода | Маркер #17
T5 - J | 36 | Переход завершил работу | Маркер #17
T1 - F | 36 | Переход завершил работу | Маркер #18
T2 - T | 36 | Маркер иниц. срабатывание перехода | Маркер #18
T4 - T | 36 | Маркер иниц. срабатывание перехода | Маркер #18
T4 - T | 37 | Переход завершил работу | Маркер #18
T2 - T | 37 | Переход завершил работу | Маркер #18
T1 - F | 37 | Маркер иниц. срабатывание перехода | Маркер #19
T5 - J | 37 | Маркер иниц. срабатывание перехода | Маркер #18
T5 - J | 38 | Переход завершил работу | Маркер #18
T1 - F | 38 | Переход завершил работу | Маркер #19
T2 - T | 38 | Маркер иниц. срабатывание перехода | Маркер #19
T4 - T | 38 | Маркер иниц. срабатывание перехода | Маркер #19
T4 - T | 39 | Переход завершил работу | Маркер #19
T2 - T | 39 | Переход завершил работу | Маркер #19
T1 - F | 39 | Маркер иниц. срабатывание перехода | Маркер #20
T5 - J | 39 | Маркер иниц. срабатывание перехода | Маркер #19
T5 - J | 40 | Переход завершил работу | Маркер #19
T1 - F | 40 | Переход завершил работу | Маркер #20
T2 - T | 40 | Маркер иниц. срабатывание перехода | Маркер #20
T4 - T | 40 | Маркер иниц. срабатывание перехода | Маркер #20
T4 - T | 41 | Переход завершил работу | Маркер #20
T2 - T | 41 | Переход завершил работу | Маркер #20
T1 - F | 41 | Маркер иниц. срабатывание перехода | Маркер #21
T5 - J | 41 | Маркер иниц. срабатывание перехода | Маркер #20
T5 - J | 42 | Переход завершил работу | Маркер #20
T1 - F | 42 | Переход завершил работу | Маркер #21
T2 - T | 42 | Маркер иниц. срабатывание перехода | Маркер #21
T4 - T | 42 | Маркер иниц. срабатывание перехода | Маркер #21
T4 - T | 43 | Переход завершил работу | Маркер #21
T2 - T | 43 | Переход завершил работу | Маркер #21
T1 - F | 43 | Маркер иниц. срабатывание перехода | Маркер #22
T5 - J | 43 | Маркер иниц. срабатывание перехода | Маркер #21
T5 - J | 44 | Переход завершил работу | Маркер #21
T1 - F | 44 | Переход завершил работу | Маркер #22
T2 - T | 44 | Маркер иниц. срабатывание перехода | Маркер #22
