T2 - Y | 0 | Маркер иниц. срабатывание перехода | Маркер #1
T2 - Y | 1 | Переход завершил работу | Маркер #1
T1 - Y | 1 | Маркер иниц. срабатывание перехода | Маркер #2
T3 - F | 1 | Маркер иниц. срабатывание перехода | Маркер #1
T1 - Y | 2 | Переход завершил работу | Маркер #2
T1 - Y | 3 | Маркер иниц. срабатывание перехода | Маркер #3
T1 - Y | 4 | Переход завершил работу | Маркер #3
T3 - F | 6 | Переход завершил работу | Маркер #1
T2 - Y | 6 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - X | 6 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - X | 7 | Переход завершил работу | Маркер #1
T2 - Y | 7 | Переход завершил работу | Маркер #1
T3 - F | 7 | Маркер иниц. срабатывание перехода | Маркер #1
T3 - F | 12 | Переход завершил работу | Маркер #1
T2 - Y | 12 | Маркер иниц. срабатывание перехода | Маркер #2
T4 - X | 12 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - X | 13 | Переход завершил работу | Маркер #1
T2 - Y | 13 | Переход завершил работу | Маркер #2
T1 - Y | 13 | Маркер иниц. срабатывание перехода | Маркер #4
T1 - Y | 14 | Переход завершил работу | Маркер #4
