P4 | 1 | Маркер покинул позицию | Маркер #1
P1 | 1 | Позиция маркирована | Маркер #1
Q1 | 2 | Позиция маркирована | Маркер #2
Q1 | 4 | Позиция маркирована | Маркер #3
P1 | 6 | Маркер покинул позицию | Маркер #1
P2 | 6 | Позиция маркирована | Маркер #1
P4 | 6 | Позиция маркирована | Маркер #1
P2 | 7 | Маркер покинул позицию | Маркер #1
P3 | 7 | Позиция маркирована | Маркер #1
P4 | 7 | Маркер покинул позицию | Маркер #1
P1 | 7 | Позиция маркирована | Маркер #1
P3 | 7 | Маркер уничтожен из конечной позиции | Маркер #1
P1 | 12 | Маркер покинул позицию | Маркер #1
P2 | 12 | Позиция маркирована | Маркер #1
P4 | 12 | Позиция маркирована | Маркер #1
P2 | 13 | Маркер покинул позицию | Маркер #1
P3 | 13 | Позиция маркирована | Маркер #1
P1 | 13 | Позиция маркирована | Маркер #2
P3 | 13 | Маркер уничтожен из конечной позиции | Маркер #1
Q1 | 14 | Позиция маркирована | Маркер #4
