Log started 27.05.2013-12_14_52
####################################################
T2 - Y | 0 | Маркер иниц. срабатывание перехода | Маркер #1
G1 | 1 | Сгенерирован маркер | Маркер #2
P4 | 1 | Маркер покинул позицию | Маркер #1
P1 | 1 | Позиция маркирована | Маркер #1
T2 - Y | 1 | Переход завершил работу | Маркер #1
T1 - Y | 1 | Маркер иниц. срабатывание перехода | Маркер #2
T3 - F | 1 | Маркер иниц. срабатывание перехода | Маркер #1
G1 | 2 | Маркер покинул генератор | Маркер #2
Q1 | 2 | Позиция маркирована | Маркер #2
T1 - Y | 2 | Переход завершил работу | Маркер #2
G1 | 3 | Сгенерирован маркер | Маркер #3
T1 - Y | 3 | Маркер иниц. срабатывание перехода | Маркер #3
G1 | 4 | Маркер покинул генератор | Маркер #3
Q1 | 4 | Позиция маркирована | Маркер #3
T1 - Y | 4 | Переход завершил работу | Маркер #3
G1 | 5 | Сгенерирован маркер | Маркер #4
P1 | 6 | Маркер покинул позицию | Маркер #1
P2 | 6 | Позиция маркирована | Маркер #1
P4 | 6 | Позиция маркирована | Маркер #1
T3 - F | 6 | Переход завершил работу | Маркер #1
T2 - Y | 6 | Маркер иниц. срабатывание перехода | Маркер #1
T4 - X | 6 | Маркер иниц. срабатывание перехода | Маркер #1
P2 | 7 | Маркер покинул позицию | Маркер #1
P3 | 7 | Позиция маркирована | Маркер #1
T4 - X | 7 | Переход завершил работу | Маркер #1
P4 | 7 | Маркер покинул позицию | Маркер #1
P1 | 7 | Позиция маркирована | Маркер #1
T2 - Y | 7 | Переход завершил работу | Маркер #1
T3 - F | 7 | Маркер иниц. срабатывание перехода | Маркер #1
P3 | 7 | Маркер уничтожен из конечной позиции | Маркер #1
P1 | 12 | Маркер покинул позицию | Маркер #1
P2 | 12 | Позиция маркирована | Маркер #1
P4 | 12 | Позиция маркирована | Маркер #1
T3 - F | 12 | Переход завершил работу | Маркер #1
T2 - Y | 12 | Маркер иниц. срабатывание перехода | Маркер #2
T4 - X | 12 | Маркер иниц. срабатывание перехода | Маркер #1
P2 | 13 | Маркер покинул позицию | Маркер #1
P3 | 13 | Позиция маркирована | Маркер #1
T4 - X | 13 | Переход завершил работу | Маркер #1
Q1 | 13 | Маркер покинул очередь | Маркер #2
P1 | 13 | Позиция маркирована | Маркер #2
T2 - Y | 13 | Переход завершил работу | Маркер #2
T1 - Y | 13 | Маркер иниц. срабатывание перехода | Маркер #4
P3 | 13 | Маркер уничтожен из конечной позиции | Маркер #1
G1 | 14 | Маркер покинул генератор | Маркер #4
Q1 | 14 | Позиция маркирована | Маркер #4
T1 - Y | 14 | Переход завершил работу | Маркер #4
G1 | 15 | Сгенерирован маркер | Маркер #5
